,age,education,balance,day,month,duration,campaign,pdays,previous,job_blue-collar,job_entrepreneur,job_housemaid,job_management,job_retired,job_self-employed,job_services,job_student,job_technician,job_unemployed,job_nan,contact_telephone,contact_nan,poutcome_other,poutcome_success,poutcome_nan,marital_married,marital_single,default_yes,housing_yes,loan_yes,subscribed_yes,total_contact
20,32.0,0.6666666666666666,233,2,3,77,0.6931471805599453,133,1.0986122886681098,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,1.1600209167967532
21,30.0,0.6666666666666666,0,2,3,293,0.6931471805599453,314,0.6931471805599453,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,0.9255807787812478
22,53.0,0.0,1409,2,3,464,0.0,287,0.4054651081081644,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,0.618782765271083
23,40.0,0.0,738,2,3,399,0.6931471805599453,258,0.9162907318741551,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,1.0496554439415786
24,57.0,0.6666666666666666,1631,2,3,254,0.6931471805599453,261,0.9162907318741551,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,1.0496554439415786
25,37.0,0.6666666666666666,489,3,3,246,0.6931471805599453,133,1.3862943611198906,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,1.3498032525374755
26,38.0,0.3333333333333333,-421,3,3,187,0.0,332,1.252762968495368,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,1.1600209167967532
27,54.0,0.0,136,3,3,352,0.0,332,0.6931471805599453,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,0.7839015438284094
28,56.0,0.0,0,3,3,353,0.6931471805599453,227,1.0986122886681098,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,1.1600209167967532
29,24.0,0.3333333333333333,496,3,3,297,0.0,323,0.6931471805599453,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,0.7839015438284094
30,35.0,0.3333333333333333,3187,3,3,445,0.0,135,0.9162907318741551,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,0.9255807787812478
31,31.0,0.3333333333333333,695,3,3,314,0.0,318,0.4054651081081644,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,0.618782765271083
32,34.0,0.3333333333333333,-60,3,3,84,0.0,332,0.4054651081081644,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,0.618782765271083
33,38.0,0.3333333333333333,275,3,3,277,0.6931471805599453,333,0.4054651081081644,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,0.7839015438284094
34,56.0,0.3333333333333333,3948,3,3,484,0.0,135,0.9162907318741551,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0.9255807787812478
35,39.0,0.3333333333333333,517,3,3,240,0.0,136,1.252762968495368,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,1.1600209167967532
36,56.0,0.3333333333333333,283,20,3,89,1.0986122886681098,341,0.6931471805599453,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,1.0496554439415786
37,57.0,0.6666666666666666,3082,20,3,267,0.6931471805599453,294,0.9162907318741551,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,True,False,1.0496554439415786
38,46.0,0.0,292,20,3,386,0.6931471805599453,234,1.0986122886681098,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,1.1600209167967532
39,40.0,0.3333333333333333,169,20,3,214,0.0,346,0.4054651081081644,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,0.618782765271083
40,34.0,0.6666666666666666,8038,20,3,29,1.0986122886681098,152,0.4054651081081644,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,0.9255807787812478
41,31.0,0.0,71,20,3,185,1.0986122886681098,336,1.3862943611198906,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,1.4327007339340463
42,43.0,0.3333333333333333,101,20,3,131,0.6931471805599453,349,0.9162907318741551,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,1.0496554439415786
43,27.0,0.3333333333333333,2784,20,3,153,0.0,328,0.4054651081081644,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,True,False,False,0.618782765271083
44,53.0,0.3333333333333333,225,20,3,304,0.0,340,0.4054651081081644,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,0.618782765271083
45,34.0,0.3333333333333333,550,20,3,90,1.0986122886681098,346,0.4054651081081644,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,0.9255807787812478
46,33.0,0.3333333333333333,2502,20,3,285,0.0,270,0.4054651081081644,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,0.618782765271083
47,51.0,0.0,14,20,3,233,0.6931471805599453,329,0.4054651081081644,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,0.7839015438284094
48,50.0,0.6666666666666666,221,20,3,319,0.6931471805599453,340,0.4054651081081644,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,0.7839015438284094
49,34.0,0.0,1217,20,3,142,0.6931471805599453,328,0.9162907318741551,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,1.0496554439415786
50,43.0,0.3333333333333333,266,20,3,79,0.0,152,0.4054651081081644,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,0.618782765271083
51,35.0,0.6666666666666666,122,20,3,49,1.6094379124341003,328,1.252762968495368,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,1.509249185178668
52,42.0,0.6666666666666666,72,20,3,124,0.6931471805599453,348,0.9162907318741551,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,1.0496554439415786
53,45.0,0.3333333333333333,497,20,3,72,0.0,321,0.6931471805599453,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,0.7839015438284094
54,31.0,0.6666666666666666,635,20,3,37,0.0,320,0.6931471805599453,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,0.7839015438284094
55,35.0,0.3333333333333333,360,20,3,24,0.0,152,0.9162907318741551,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,0.9255807787812478
56,35.0,0.3333333333333333,1345,20,3,163,0.0,271,0.4054651081081644,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,0.618782765271083
57,39.0,0.3333333333333333,2299,20,3,450,0.0,271,0.4054651081081644,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,0.618782765271083
58,48.0,0.0,0,20,3,90,0.6931471805599453,259,0.4054651081081644,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,0.7839015438284094
59,33.0,0.3333333333333333,15341,20,3,335,0.0,334,0.9162907318741551,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0.9255807787812478
60,33.0,0.3333333333333333,285,1,3,427,0.0,329,0.4054651081081644,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,0.618782765271083
61,37.0,0.3333333333333333,1180,1,3,786,0.0,135,0.4054651081081644,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,True,False,0.618782765271083
62,32.0,0.6666666666666666,1743,1,3,1156,0.0,261,0.9162907318741551,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,0.9255807787812478
63,35.0,0.3333333333333333,0,1,3,295,0.0,303,0.4054651081081644,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,0.618782765271083
64,49.0,0.0,686,1,3,286,0.6931471805599453,225,1.0986122886681098,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,True,False,1.1600209167967532
65,33.0,0.3333333333333333,3576,2,3,124,0.0,308,0.6931471805599453,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,0.7839015438284094
66,35.0,0.6666666666666666,1250,2,3,361,0.0,136,0.4054651081081644,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,0.618782765271083
67,35.0,0.3333333333333333,2643,2,3,96,1.0986122886681098,330,0.4054651081081644,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,0.9255807787812478
68,35.0,0.6666666666666666,1473,20,3,17,1.791759469228055,322,1.0986122886681098,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,1.509249185178668
69,46.0,0.3333333333333333,168,20,3,255,0.0,336,1.0986122886681098,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,1.0496554439415786
70,34.0,0.6666666666666666,5452,20,3,96,0.0,245,1.252762968495368,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,1.1600209167967532
71,30.0,0.3333333333333333,4867,20,3,8,1.791759469228055,306,0.9162907318741551,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,True,False,False,True,True,False,1.4327007339340463
72,33.0,0.3333333333333333,6,20,3,386,0.0,349,0.9162907318741551,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,0.9255807787812478
73,43.0,0.3333333333333333,1220,20,3,349,0.6931471805599453,339,0.4054651081081644,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,0.7839015438284094
74,35.0,0.6666666666666666,1422,20,3,28,1.9459101490553132,272,0.9162907318741551,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,True,False,1.509249185178668
75,36.0,0.3333333333333333,-53,20,3,9,1.6094379124341003,322,1.6094379124341003,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,1.7089815427703619
76,30.0,0.6666666666666666,63,20,3,260,0.0,320,0.4054651081081644,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,0.618782765271083
77,35.0,0.6666666666666666,262,20,3,690,0.6931471805599453,335,1.0986122886681098,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,1.1600209167967532
78,31.0,0.3333333333333333,1664,20,3,158,0.0,182,0.4054651081081644,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,0.618782765271083
79,38.0,0.3333333333333333,5000,4,11,720,1.6094379124341003,536,1.252762968495368,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,1.509249185178668
80,31.0,0.3333333333333333,389,7,11,69,0.0,185,0.6931471805599453,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,0.7839015438284094
81,42.0,0.6666666666666666,144,7,11,143,0.0,283,0.9162907318741551,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0.9255807787812478
82,32.0,0.3333333333333333,8626,7,11,200,0.0,196,0.6931471805599453,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0.7839015438284094
83,57.0,0.0,698,9,11,135,1.0986122886681098,191,0.6931471805599453,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,1.0496554439415786
84,22.0,0.6666666666666666,1258,10,11,182,0.0,156,0.4054651081081644,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0.618782765271083
85,45.0,0.6666666666666666,1788,10,11,364,0.0,191,1.0986122886681098,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,1.0496554439415786
86,40.0,0.6666666666666666,3797,14,11,263,0.0,195,0.6931471805599453,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0.7839015438284094
87,35.0,0.6666666666666666,3402,14,11,269,0.0,194,0.6931471805599453,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0.7839015438284094
88,64.0,0.0,67,14,11,86,0.6931471805599453,111,0.4054651081081644,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,0.7839015438284094
89,43.0,0.3333333333333333,775,16,11,325,0.0,124,0.6931471805599453,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,0.7839015438284094
90,46.0,0.6666666666666666,0,17,11,155,0.0,199,0.6931471805599453,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,0.7839015438284094
91,47.0,0.3333333333333333,0,17,11,97,0.0,231,0.6931471805599453,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,0.7839015438284094
92,56.0,0.3333333333333333,393,17,11,103,0.0,206,0.4054651081081644,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,0.618782765271083
93,52.0,0.3333333333333333,195,17,11,110,0.6931471805599453,205,0.9162907318741551,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,1.0496554439415786
94,31.0,0.6666666666666666,596,17,11,184,1.791759469228055,196,0.6931471805599453,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,1.3498032525374755
95,29.0,0.3333333333333333,399,18,11,454,1.791759469228055,199,0.4054651081081644,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,1.2594075112140366
96,44.0,0.3333333333333333,1025,21,11,116,0.6931471805599453,202,0.4054651081081644,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,0.7839015438284094
97,40.0,0.3333333333333333,782,21,11,94,1.6094379124341003,202,2.2512917986064953,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,2.1428075006349854
98,49.0,0.3333333333333333,905,21,11,385,1.9459101490553132,131,0.6931471805599453,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,1.4327007339340463
99,48.0,0.3333333333333333,1559,24,11,520,1.0986122886681098,133,0.9162907318741551,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,1.1600209167967532
100,59.0,0.6666666666666666,2764,24,11,237,0.0,206,0.6931471805599453,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0.7839015438284094
101,49.0,0.3333333333333333,3570,24,11,62,1.0986122886681098,202,0.6931471805599453,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,1.0496554439415786
102,32.0,0.6666666666666666,623,24,11,273,0.0,203,0.4054651081081644,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,0.618782765271083
103,47.0,0.3333333333333333,3519,28,11,193,0.0,220,0.4054651081081644,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,0.618782765271083
104,35.0,0.6666666666666666,7546,28,11,137,0.0,122,0.9162907318741551,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,0.9255807787812478
105,36.0,0.6666666666666666,629,29,11,109,0.0,246,0.4054651081081644,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,True,False,0.618782765271083
106,30.0,0.6666666666666666,2907,30,11,146,0.6931471805599453,218,0.4054651081081644,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,0.7839015438284094
107,40.0,0.3333333333333333,3126,30,11,110,1.0986122886681098,232,0.6931471805599453,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,1.0496554439415786
108,33.0,0.6666666666666666,1071,2,1,84,0.6931471805599453,174,1.0986122886681098,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,1.1600209167967532
109,36.0,0.3333333333333333,265,2,1,88,0.0,273,0.4054651081081644,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,True,False,0.618782765271083
110,53.0,0.3333333333333333,660,2,1,210,0.0,272,0.6931471805599453,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0.7839015438284094
111,44.0,0.3333333333333333,294,2,1,246,0.0,259,0.6931471805599453,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,0.7839015438284094
112,31.0,0.6666666666666666,1130,2,1,181,0.0,264,0.9162907318741551,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,0.9255807787812478
113,46.0,0.3333333333333333,363,2,1,346,0.0,180,0.9162907318741551,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,0.9255807787812478
114,47.0,0.3333333333333333,349,2,1,112,0.0,273,0.4054651081081644,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,True,False,0.618782765271083
115,37.0,0.0,89,2,1,393,0.0,245,1.0986122886681098,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,1.0496554439415786
116,32.0,0.3333333333333333,1,2,1,75,0.0,208,0.4054651081081644,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0.618782765271083
117,46.0,0.3333333333333333,-179,2,1,151,0.0,214,0.6931471805599453,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.7839015438284094
118,47.0,0.3333333333333333,129,2,1,110,0.6931471805599453,222,0.6931471805599453,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0.9255807787812478
119,38.0,0.3333333333333333,757,2,1,133,0.0,272,0.4054651081081644,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,0.618782765271083
120,56.0,0.3333333333333333,218,2,1,113,0.6931471805599453,249,0.6931471805599453,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0.9255807787812478
121,37.0,0.3333333333333333,520,2,1,54,0.0,255,0.6931471805599453,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,0.7839015438284094
122,55.0,0.3333333333333333,5,2,1,269,0.0,206,0.6931471805599453,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0.7839015438284094
123,45.0,0.3333333333333333,1097,2,1,174,0.0,208,0.4054651081081644,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,0.618782765271083
124,39.0,0.3333333333333333,0,2,1,731,0.0,193,0.9162907318741551,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0.9255807787812478
125,52.0,0.3333333333333333,279,2,1,72,0.0,203,0.9162907318741551,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,0.9255807787812478
126,36.0,0.0,367,2,1,217,0.0,221,0.4054651081081644,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0.618782765271083
127,39.0,0.6666666666666666,1222,2,1,251,0.0,242,0.6931471805599453,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,0.7839015438284094
128,53.0,0.6666666666666666,451,2,1,125,0.0,249,0.6931471805599453,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,0.7839015438284094
129,26.0,0.3333333333333333,3244,2,1,141,0.0,5,0.4054651081081644,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,0.618782765271083
130,51.0,0.3333333333333333,1490,2,1,177,0.0,199,0.6931471805599453,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,0.7839015438284094
131,47.0,0.3333333333333333,207,2,1,244,0.0,271,1.0986122886681098,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1.0496554439415786
132,49.0,0.3333333333333333,-367,2,1,98,0.0,207,0.4054651081081644,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,0.618782765271083
133,37.0,0.3333333333333333,506,2,1,446,0.6931471805599453,273,0.4054651081081644,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0.7839015438284094
134,40.0,0.3333333333333333,123,2,1,247,0.0,241,0.9162907318741551,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,0.9255807787812478
135,45.0,0.6666666666666666,430,2,1,221,0.0,206,0.6931471805599453,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,0.7839015438284094
136,48.0,0.3333333333333333,578,2,1,70,0.0,250,0.4054651081081644,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,0.618782765271083
137,45.0,0.0,221,2,1,93,0.0,235,0.4054651081081644,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.618782765271083
138,58.0,0.3333333333333333,1103,2,1,226,0.0,202,1.0986122886681098,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1.0496554439415786
139,60.0,0.3333333333333333,358,2,1,95,0.0,216,0.6931471805599453,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,0.7839015438284094
140,40.0,0.6666666666666666,97,2,1,73,0.0,252,0.4054651081081644,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,True,False,0.618782765271083
141,36.0,0.3333333333333333,-94,2,1,185,0.0,252,0.6931471805599453,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,0.7839015438284094
142,54.0,0.3333333333333333,514,2,1,109,0.0,186,0.9162907318741551,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,0.9255807787812478
143,40.0,0.3333333333333333,507,2,1,134,0.0,266,1.5040773967762742,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,1.3498032525374755
144,39.0,0.3333333333333333,614,2,1,166,0.0,258,0.4054651081081644,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,0.618782765271083
145,31.0,0.3333333333333333,44,2,1,200,1.6094379124341003,175,0.6931471805599453,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,1.2594075112140366
146,32.0,0.3333333333333333,289,2,1,63,0.0,257,0.6931471805599453,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,0.7839015438284094
